child_id,age_months,mlu,mlum,mluw,ttr,brown_stage,vocd,mattr,w2v_score,svd_1,svd_2,svd_3,svd_4,svd_5,svd_6,svd_7,svd_8,svd_9,svd_10,score_early_nouns,score_action_words,score_social_words,score_descriptors,score_late_complex,score_cdi,topic_early_nouns,topic_action_words,topic_social_words,topic_descriptors,topic_late_complex,mixture_cluster,mix_prob_1,mix_prob_2,mix_prob_3,mix_prob_4,mix_prob_5,mix_prob_6,mix_prob_7,mix_prob_8
Eve,18.0,1.43,1.43,1.5,0.2457142857142857,I,69.26526089985994,0.4344198596869941,0.8258556,0.27976929922510463,0.37417867007939143,-0.033049281890367196,-0.18504491737816559,-0.0417516458185586,0.5589508986292593,0.07650479316504281,-0.0404589415331493,0.05225649209455527,0.042538735566519194,0.060988433228180865,0.04048370136698212,0.13354363827549948,0.011566771819137749,0.0015772870662460567,0.3270241850683491,0.00014129414921626449,0.001177965896204114,0.00014100583211984485,0.13376934826374054,0.8647703528404236,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Eve,19.0,2.14,2.14,2.16,0.3428571428571428,II,74.63086571611046,0.5042708333333333,0.7240068,0.28715104408497166,0.33795670968168956,-0.026436068893616035,-0.23092063707361565,-0.02050255997841995,0.5353922067274034,0.0024337847557928567,-0.12454561202531969,0.12773019109543046,0.13042373828617804,0.03158650394831299,0.07465900933237617,0.16080402010050251,0.008614501076812634,0.013639626704953339,0.2548456568557071,0.0001911560830194503,0.04628947749733925,0.00018917191482614726,0.052666619420051575,0.9006634950637817,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Eve,20.0,2.16,2.16,2.19,0.2942857142857142,II,86.66151187432122,0.5182417582417582,0.5910271,0.33378981215624537,0.33329169614870324,-0.04025636259341584,-0.24836738623473176,0.05861146548209382,0.5710873709780816,-0.06155112203213678,-0.08753876056538994,0.12605215148665389,0.03788851463225862,0.037337662337662336,0.09821428571428571,0.15097402597402598,0.016233766233766232,0.003246753246753247,0.31412337662337664,0.00021130153618287295,0.03218211233615875,0.00021084552281536162,0.00021366498549468815,0.9671820998191833,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Eve,21.0,2.38,2.38,2.42,0.3342857142857143,II,96.47154803790995,0.5219273075083691,0.4290269,0.41577958466157056,0.3472659885469642,-0.07996807985531773,-0.32697839621685115,0.07470411237904862,0.6285025533990178,-0.009841912066979812,-0.017464275868200093,0.10077532412342934,-0.09912486646344679,0.05105176081304656,0.0768139919640747,0.16095485700779957,0.013471992436776176,0.01229023871425195,0.3308910423067833,6.556641164934263e-05,6.598049367312342e-05,6.564839713973925e-05,6.602086068596691e-05,0.9997368454933167,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Eve,22.0,2.85,2.85,2.85,0.3314285714285714,III,75.03398332777492,0.5445192307692308,0.24222663,0.41587913779840857,0.2575912021344466,-0.058655916396803176,-0.3094863104974823,0.16766306912632356,0.6227345154741054,-0.0903503261687003,0.030109284615972974,0.07348714896472323,-0.0576798464664554,0.03378132945877225,0.09516890664729385,0.15147112241191427,0.00980748274609517,0.010533962949509626,0.3341808935706502,0.0001057711779139936,0.00010525128891458735,0.00010564578406047076,0.0001057872868841514,0.999577522277832,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Eve,23.0,2.65,2.65,2.65,0.3342857142857143,III,63.58945693261766,0.5774071661237785,0.20073324,0.46421887374775034,0.23396697288448587,-0.07833233941141932,-0.26898168972424585,0.19389778492561338,0.5332693588837822,-0.11546945309465552,0.09201360489913503,0.007290293907627609,-0.030992170745251988,0.0221224751522924,0.08303943571657582,0.1481243988457839,0.00833600512984931,0.014748316768194934,0.28919525488938763,0.00010119283251697198,0.0001009372208500281,0.0035498319193720818,0.00010112440213561058,0.9961469173431396,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Eve,24.0,3.38,3.38,3.39,0.32,IV,78.15235124912351,0.5583350970017638,-0.00974232,0.4708733374586127,0.16132763705105754,-0.037786897371905534,-0.2232036436275992,0.19956404225686952,0.5244819501749389,-0.15744456886123895,0.0680516265146518,0.03966656265127343,0.002827939655256301,0.012482662968099861,0.07628294036061026,0.10644937586685159,0.02565880721220527,0.016296809986130374,0.25624133148404993,0.014228371903300285,0.00010397138976259157,0.016910111531615257,0.00010425264190416783,0.9686533212661743,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Eve,25.0,3.36,3.36,3.36,0.2914285714285714,IV,77.28397968850699,0.5934815783736648,-0.1979925,0.5051775645951703,0.08483326296218642,-0.06171231332783428,-0.23581481325086517,0.23399226696072709,0.46546435678437,-0.11405241386038602,0.0981647196060276,-0.02924044113233528,-0.02753380140627008,0.004745470232959448,0.0729076790336497,0.10828300258843832,0.011647972389991372,0.02092320966350302,0.2635893011216566,0.04724131152033806,6.305744318524376e-05,0.16701221466064453,6.336877413559705e-05,0.7856200933456421,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Eve,26.0,3.5,3.5,3.5,0.4085714285714286,IV,88.49199379263689,0.6018864566648869,-0.06985301,0.5737511847961957,0.11696109703706487,-0.03233541235595888,-0.16736469149457667,0.24732255786299168,0.4932856481652848,-0.12861901681042778,0.10795440819444632,-0.00870217190367363,0.02197786168032469,0.0187014820042343,0.06880733944954129,0.10568101623147495,0.014996471418489768,0.02399435426958363,0.24311926605504589,0.06445819139480591,5.0977720093214884e-05,0.1632869392633438,5.0966049457201734e-05,0.7721529006958008,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Eve,27.0,3.71,3.71,3.76,0.3942857142857143,IV,91.34381902976257,0.6400300932891966,-0.08644402,0.6379160865238623,0.067173902361995,-0.03488086966214573,-0.14472708758672362,0.19086823409991227,0.40323894308424,-0.14098316943386593,0.10319687998017961,0.03205290200192953,-0.06398936990309473,0.015124555160142349,0.06109134045077105,0.13552787663107949,0.018683274021352312,0.028766310794780547,0.23576512455516013,0.23391342163085938,8.426367276115343e-05,0.1948794722557068,8.400802471442148e-05,0.5710389018058777,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Adam,27.133333333333333,2.0,2.0,2.0,0.3142857142857143,II,72.15719562001748,0.4901227495908347,0.876432,0.27388913300924544,0.3724827406115526,-0.09146669301463889,-0.18341747992824325,-0.24283689842786932,-0.0032859175360847445,0.2507103960635758,-0.1521415791264122,-0.17407520002751384,0.05617841768198961,0.044524669073405534,0.10268752507019654,0.20938628158844766,0.011231448054552748,0.00040112314480545525,0.3842759727236262,0.00010471201676409692,0.0038810912519693375,0.00010426987864775583,0.9958049654960632,0.00010501534416107461,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Adam,27.6,1.89,1.89,1.91,0.3428571428571428,I,97.83149261985182,0.4955555555555555,0.9041437,0.27507523720956584,0.4149810355932319,-0.16651301688755044,-0.18002052574712082,-0.34623205573240906,-0.03880900400994085,0.2582154354242056,-0.21492773333235565,-0.21753310060976283,0.05031672811237376,0.047492401215805474,0.09954407294832827,0.14475683890577506,0.010638297872340425,0.003799392097264438,0.3913373860182371,9.250871516996995e-05,0.018735751509666443,9.251800656784326e-05,0.9809860587120056,9.32459079194814e-05,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Adam,28.1,2.33,2.33,2.33,0.3514285714285714,II,95.83650480933544,0.5274706182933061,0.498882,0.3811729328344185,0.4446616777322051,-0.22101149585024668,-0.31039048086239795,-0.37237789387389086,-1.349691903714339e-05,0.2731123390569661,-0.18175593149232686,-0.13320226254310027,0.012437125855943832,0.05682951146560319,0.09820538384845463,0.11714855433698904,0.03290129611166501,0.00897308075772682,0.42572283150548357,0.00012462430458981544,0.000125380844110623,0.00012459517165552825,0.999500036239624,0.00012535451969597489,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Adam,28.5,1.77,1.77,1.77,0.3485714285714286,I,73.20274186128043,0.544423076923077,0.51691836,0.37554410685443235,0.3999799672607914,-0.2147865808102381,-0.2727823210326109,-0.3472046243097688,-0.022515231357724035,0.1671812991501572,-0.18557262086787948,-0.1112802563229358,0.0837127675643701,0.035880398671096346,0.03986710963455149,0.21328903654485049,0.016611295681063124,0.009966777408637873,0.3568106312292359,0.00016770686488598585,0.00016855394642334431,0.00016725405293982476,0.9974374771118164,0.0020590254571288824,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Adam,29.0,1.93,1.93,1.96,0.3742857142857143,I,105.20874878817722,0.5293877551020408,0.4733889,0.3597881083050733,0.3649684996270113,-0.23978485284410678,-0.2922230823315723,-0.31486887483496007,-0.08401491932599565,0.14318850070225592,-0.15484431689733585,-0.09114956017593889,0.0422635845342144,0.025267249757045675,0.06268221574344024,0.15840621963070942,0.01652089407191448,0.00826044703595724,0.32215743440233235,0.00012622018402907997,0.00012585947115439922,0.00012568297097459435,0.9994961619377136,0.0001261030847672373,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Adam,29.4,2.22,2.22,2.22,0.3028571428571429,II,75.03029335330352,0.5095371367061357,0.8892035,0.34990948312759895,0.3741914304235291,-0.2525813833171577,-0.29359839884107647,-0.33812732416998575,-0.13314746213581125,0.1412502652444867,-0.18517732129447992,-0.13590951747560914,0.07786427139051336,0.028841111693759833,0.04929208180388044,0.13476664918720505,0.013633980073413739,0.009963293130571578,0.2779234399580493,0.00013243535067886114,0.00013267902249936014,0.00013173342449590564,0.9994705319404602,0.00013261660933494568,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Adam,30.1,2.16,2.16,2.16,0.34,II,90.86446903261651,0.52773261065944,0.3758877,0.44809637787009193,0.365115407067976,-0.30036601739257573,-0.31475086259200297,-0.2986850575160991,-0.18459051457076647,0.13453253141115043,-0.14544091779185464,-0.02805681569059545,0.012995136245106642,0.030048608042421564,0.07335395492708793,0.16084843128590368,0.015024304021210782,0.007070260715863898,0.3119752540874945,0.00011614658433245495,0.00011616688425419852,0.027468381449580193,0.972183108329773,0.00011624107719399035,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Adam,30.566666666666663,3.01,3.01,3.02,0.3457142857142857,IV,65.6286641018808,0.5788941053729786,0.1728507,0.4633523791486984,0.32059499719543094,-0.30490009728759576,-0.31972917982165716,-0.30123212927644,-0.2016893540565674,0.07652655153376878,-0.1645609739142675,-0.06600001123239352,-0.04420440580597117,0.006612410986775178,0.09053916581892167,0.15462868769074262,0.002034587995930824,0.004577822990844354,0.23957273652085453,0.0001429671247024089,0.0001423080248059705,0.12761938571929932,0.8719522356987,0.00014308768732007593,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Adam,31.033333333333335,2.56,2.56,2.56,0.4085714285714286,III,101.15360895856016,0.5780624717066546,0.36403257,0.45038189149805385,0.31223196543267767,-0.29840587736030727,-0.27008650512100074,-0.29702681329961994,-0.1880519082517735,0.10522593744096864,-0.10476310590511655,-0.09532452485390289,0.056859274695324064,0.023029229406554472,0.05934455270150576,0.1550044286979628,0.007528786536758193,0.003985828166519044,0.26439326837909655,0.002285219728946686,0.00011385951802367344,0.06622885912656784,0.9312584400177002,0.00011366597755113617,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Adam,31.466666666666665,2.3,2.3,2.3,0.3514285714285714,II,96.99363257682178,0.5597497982243744,0.48475376,0.4417600736530431,0.3103243798461705,-0.2404268402830038,-0.18590559649959443,-0.2157636925183316,-0.10508215344427639,0.06323982251463756,-0.08437347209983444,-0.0422980663728465,-0.046921025291702494,0.027700831024930747,0.0854768500197863,0.14998021369212505,0.026513652552433715,0.007914523149980214,0.2821527502967946,0.00010475353337824345,0.008583957329392433,0.09114431589841843,0.8080019354820251,0.09216504544019699,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
