file_id,child_id,age_months,mlu,brown_stage,vocd,mattr,w2v_score
0,Adam,27.13,2.0,II,61.1327193106971,0.4603199343724364,-0.96624136
1,Adam,27.6,1.89,I,72.717795845414,0.46029067420266456,-1.1389176
2,Adam,28.1,2.33,II,76.73831778435716,0.5051354279523294,-0.6403616
3,Adam,28.5,1.77,I,56.0761151760166,0.5201992337164751,-0.31476104
4,Adam,29.0,1.93,I,89.8768352877034,0.5233842538190364,-0.4744355
5,Adam,29.4,2.22,II,64.257732886922,0.5037412587412587,-0.8243645
6,Adam,30.1,2.16,II,78.1661164206675,0.5043934760448522,-0.31572813
7,Adam,30.57,3.01,IV,66.98620255215543,0.5623924050632911,-0.36167616
8,Adam,31.03,2.56,III,95.67148957376908,0.5596860282574568,-0.34648716
9,Adam,31.47,2.3,II,85.891232383302,0.5300973574408901,-0.5606781
10,Adam,32.03,2.71,III,73.78120707519648,0.5042588932806324,-0.1966986
11,Adam,32.53,2.14,II,88.91073073073117,0.5691749174917492,-0.22228587
12,Adam,33.13,2.19,II,71.82784035167923,0.5943613138686131,-0.053864777
13,Adam,33.6,2.45,II,78.19392431137031,0.5898454027664768,0.010595918
14,Adam,34.07,2.35,II,62.24057598296101,0.5720257611241217,0.19592541
15,Adam,34.53,2.42,II,50.50714121298995,0.5466,0.15092158
16,Adam,35.0,3.08,IV,69.18679080238951,0.5940460829493087,0.19589305
17,Adam,35.43,2.49,II,55.59263454848429,0.5706517509727627,0.3698923
18,Adam,35.93,3.41,IV,58.32372431085281,0.548974358974359,0.34971505
19,Adam,36.37,2.91,III,87.37171674460808,0.5762405473532589,0.25008625
20,Adam,36.83,2.84,III,81.14237468113375,0.5895697796432319,0.35185516
21,Adam,37.3,3.57,IV,71.08167556721176,0.5783478260869566,0.47013766
22,Adam,37.87,3.04,IV,66.17170121606523,0.6010400866738895,0.39144725
23,Adam,38.3,3.33,IV,97.75595240497388,0.6463358070500927,0.21462655
24,Adam,38.7,3.03,IV,69.0443824156696,0.6028133971291866,0.5829332
25,Adam,39.13,3.27,IV,73.04023296807235,0.6106013363028954,0.5391687
26,Adam,39.6,3.51,IV,63.81890343677679,0.6139553520320549,0.5271746
27,Adam,40.03,3.19,IV,74.23660851839641,0.626583246437261,0.5442227
28,Adam,40.6,3.86,V,81.64724249743254,0.6301512605042017,0.4563375
29,Adam,41.03,3.27,IV,74.10851270428178,0.6179239859469818,0.53145325
30,Adam,41.5,3.81,V,75.12240034659857,0.6396109271523178,0.4407097
31,Adam,41.97,3.47,IV,73.26098058779075,0.6327591240875913,0.65052474
32,Adam,42.3,3.65,IV,80.84134498235085,0.6352421250587682,0.4669103
33,Adam,43.23,4.07,V,94.33965425860286,0.6500080321285141,0.4149143
34,Adam,44.03,4.03,V,71.38654588091144,0.6289663273296789,0.685006
35,Adam,44.47,3.9,V,86.40210681508745,0.6690874668686103,0.5037632
36,Adam,44.87,3.78,V,68.24082228366093,0.6177268058883945,0.48639953
37,Adam,45.53,4.37,V,78.70674960315762,0.6327728613569321,0.45936257
38,Adam,46.5,4.3,V,81.32710051919445,0.6546742209631728,0.59349585
39,Adam,47.03,3.31,IV,67.46033638763562,0.6141206675224647,0.57173216
40,Adam,47.47,3.6,IV,77.16402131367664,0.6403560126582278,0.44594717
41,Adam,48.47,4.36,V,83.48983302222716,0.6523998630605957,0.45653582
42,Adam,49.5,4.2,V,86.38214234294026,0.6170382855766915,0.5147569
43,Adam,50.57,4.3,V,91.48879629414648,0.6616035455278001,0.43356723
44,Adam,51.3,4.41,V,88.6551838882409,0.6818549747048904,0.4421661
45,Adam,52.03,4.5,V,86.59346893440302,0.6549704530531845,0.48606288
46,Adam,52.43,4.6,V,92.40503943112577,0.6661898305084746,0.55799735
47,Adam,53.37,3.73,IV,95.29771826671993,0.6851486486486487,0.4737352
48,Adam,54.8,4.5,V,86.86194873204016,0.6600057061340941,0.53750145
49,Adam,55.03,4.45,V,80.84505918263072,0.6302214876033058,0.6353544
50,Adam,55.97,4.65,V,80.92928250790057,0.682409858512095,0.5975857
51,Adam,57.07,4.06,V,97.60013080727117,0.667904468412943,0.5921954
52,Adam,58.07,4.37,V,104.7689844731894,0.7073718791064388,0.636974
53,Adam,58.77,4.42,V,90.08119971596216,0.671932221918557,0.62719476
54,Adam,62.4,4.23,V,89.85835515000299,0.6591288143489401,0.6037687
55,Eve,18.0,1.43,I,44.75795861379885,0.4237083333333333,-0.8806977
56,Eve,18.0,1.8,I,61.54558487727676,0.5120198675496689,-0.8907304
57,Eve,19.0,2.14,II,51.08313949180137,0.520053619302949,-0.8623132
58,Eve,19.0,2.07,II,59.3647233639765,0.5128418549346017,-1.1197746
59,Eve,20.0,2.16,II,64.33112899370269,0.49349917081260364,-1.2437942
60,Eve,21.0,2.38,II,62.809826161627086,0.55325,-1.0549722
61,Eve,21.0,2.43,II,67.20062119606972,0.5463858961802155,-1.1943316
62,Eve,21.0,2.4,II,68.44990300689744,0.5008812260536398,-0.83810174
