child_id,age_months,mlu,mlum,mluw,ttr,svd_1,svd_2,svd_3,svd_4,svd_5,svd_6,svd_7,svd_8,svd_9,svd_10,score_early_nouns,score_action_words,score_social_words,score_descriptors,score_late_complex,score_cdi,topic_early_nouns,topic_action_words,topic_social_words,topic_descriptors,topic_late_complex,mixture_cluster,mix_prob_1,mix_prob_2,mix_prob_3,mix_prob_4,mix_prob_5,mix_prob_6,mix_prob_7,mix_prob_8
Eve,18.0,1.43,1.43,1.5,0.2457142857142857,0.3038920129759662,0.39521552491748546,-0.029006084186462555,-0.22695305526338613,-0.11657990649471825,0.5293648555782549,0.10445103001428337,0.061471390606779544,0.013170059889826556,0.005280749058465942,0.060988433228180865,0.04048370136698212,0.13354363827549948,0.011566771819137749,0.0015772870662460567,0.3270241850683491,0.00014129414921626449,0.001177965896204114,0.00014100583211984485,0.13376934826374054,0.8647703528404236,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Eve,19.0,2.14,2.14,2.16,0.3428571428571428,0.31474624039993515,0.35809036541809264,-0.01756690150839082,-0.2778500414448171,-0.10494445748886455,0.5062660279741649,0.042320812935217014,0.14970133599000843,0.0822209163346536,0.12405699581571095,0.03158650394831299,0.07465900933237617,0.16080402010050251,0.008614501076812634,0.013639626704953339,0.2548456568557071,0.0001911560830194503,0.04628947749733925,0.00018917191482614726,0.052666619420051575,0.9006634950637817,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Eve,20.0,2.16,2.16,2.19,0.2942857142857142,0.35899607295322694,0.35703346329322216,-0.04484213423092225,-0.28441029907490994,-0.03129398110827865,0.5595321804258357,-0.01990150928407803,0.10104698425643278,0.09881544884584002,0.034522353351495554,0.037337662337662336,0.09821428571428571,0.15097402597402598,0.016233766233766232,0.003246753246753247,0.31412337662337664,0.00021130153618287295,0.03218211233615875,0.00021084552281536162,0.00021366498549468815,0.9671820998191833,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Eve,21.0,2.38,2.38,2.42,0.3342857142857143,0.4473816096885725,0.3677098992039631,-0.08343628149296808,-0.35991094880578667,-0.027962933338272242,0.6071419026958794,0.015848659661143023,0.045740295928022014,0.07573563681589182,-0.11323505970707985,0.05105176081304656,0.0768139919640747,0.16095485700779957,0.013471992436776176,0.01229023871425195,0.3308910423067833,6.556641164934263e-05,6.598049367312342e-05,6.564839713973925e-05,6.602086068596691e-05,0.9997368454933167,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Eve,22.0,2.85,2.85,2.85,0.3314285714285714,0.4553882982967254,0.2762800017617396,-0.07586356252629727,-0.34369648148752996,0.06444103812678893,0.6064920854787357,-0.061814343766926,-0.022266125220752064,0.06795017823396488,-0.03228317587070479,0.03378132945877225,0.09516890664729385,0.15147112241191427,0.00980748274609517,0.010533962949509626,0.3341808935706502,0.0001057711779139936,0.00010525128891458735,0.00010564578406047076,0.0001057872868841514,0.999577522277832,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Eve,23.0,2.65,2.65,2.65,0.3342857142857143,0.507061523282116,0.24917173922374183,-0.08792828988486448,-0.29240660638541344,0.11218667266688823,0.5504465687653283,-0.08586111983971406,-0.09086012548245477,0.048621022324729125,-0.007231515923660153,0.0221224751522924,0.08303943571657582,0.1481243988457839,0.00833600512984931,0.014748316768194934,0.28919525488938763,0.00010119283251697198,0.0001009372208500281,0.0035498319193720818,0.00010112440213561058,0.9961469173431396,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Eve,24.0,3.38,3.38,3.39,0.32,0.5067262291907029,0.16933047219842556,-0.05729586227714135,-0.24388143188801775,0.10050235642162757,0.5409556764068448,-0.10187350986807926,-0.0587505231600153,0.07968676978957571,0.05274994413710174,0.012482662968099861,0.07628294036061026,0.10644937586685159,0.02565880721220527,0.016296809986130374,0.25624133148404993,0.014228371903300285,0.00010397138976259157,0.016910111531615257,0.00010425264190416783,0.9686533212661743,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Eve,25.0,3.36,3.36,3.36,0.2914285714285714,0.5591838221947318,0.09182513265700717,-0.09165561857329085,-0.25592381501362377,0.16249230676350862,0.48372574820623143,-0.0800242802936,-0.10423240147146944,0.015873095042448243,0.0019187832183260442,0.004745470232959448,0.0729076790336497,0.10828300258843832,0.011647972389991372,0.02092320966350302,0.2635893011216566,0.04724131152033806,6.305744318524376e-05,0.16701221466064453,6.336877413559705e-05,0.7856200933456421,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Eve,26.0,3.5,3.5,3.5,0.4085714285714286,0.6212764992651044,0.1273683556460207,-0.06349680812823613,-0.18318124625129772,0.16066895673691578,0.5105126885717636,-0.07149072644236285,-0.10570637973293735,0.020482777463051254,0.05991296015858904,0.0187014820042343,0.06880733944954129,0.10568101623147495,0.014996471418489768,0.02399435426958363,0.24311926605504589,0.06445819139480591,5.0977720093214884e-05,0.1632869392633438,5.0966049457201734e-05,0.7721529006958008,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Eve,27.0,3.71,3.71,3.76,0.3942857142857143,0.6748641808870198,0.07434433946886658,-0.05557631880114612,-0.16397047442706744,0.1134389416388775,0.4178138654094277,-0.08227488883387961,-0.10054205992695638,0.08217896163916404,-0.0383773393933102,0.015124555160142349,0.06109134045077105,0.13552787663107949,0.018683274021352312,0.028766310794780547,0.23576512455516013,0.23391342163085938,8.426367276115343e-05,0.1948794722557068,8.400802471442148e-05,0.5710389018058777,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
